filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_p_mean,co2_mean,co2_mean,h2o_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean,T. aire
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[Âµmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[Âµmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[Âµmol+1s-1m-2],[mmol+1s-1m-2],[Âµmol+1s-1m-2],[Âµmol+1s-1m-2],[mmol+1s-1m-2],[Âµmol+1s-1m-2],[mmol+1m-3],[Âµmol+1mol_a-1],[Âµmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[Âµmol+1mol_a-1],[Âµmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[Âµmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[Âµmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,C
2018-06-28T170000_AIU-0962.ghg,06/28/2018,17:10:00,179.715,1,6000,6000,0.34,0,178.04,0,94.43,1,79.89,0,2.17,1,4.18,0,-9999,-9999,-9999,-9999,-9999,-5.92E-11,-3.56E-12,-3.72E-13,13.5262195843,362.164625345,370.228038236,0.2,0,813.429649225,21.7795846296,22.2644961068,0.2,0,8.50E-02,2.1987526031,2.2477067219,-0.1,0,309.4117465973,307.8468305257,98090.4446067708,1.100926059,1017.9589416637,2.61E-02,0.1404381449,1.50E-02,2136.9421980764,5513.9706892833,1.37E-02,38.7550518219,3377.0284912069,291.7263586771,1.7397252716,-4.8284045131,0.4595157146,5.1527942764,-5.16E-14,-4.37E-15,5.1527942764,10.2146050803,210.1853714779,289.8146285221,5.116317873,-9999,0.55,1.9215696939,-82.5709351737,-3.29E-02,1.8854842684,0.2865334263,0,25.8141856182,-3.9174022593,8.8611745769,22.065577608,33.6513981064,47.20,70.71,0.3327669914,1.0170535552,180.6498825398,1.0243040908,83.8702657367,1.1258893973,70.9587082392,1.1258893973,1.9249273749,1.1258893973,3.547044193,1.170056275,800000009,800000009,800000009,800000009,800000009,800001019,899999999,899999999,89999,89999,89,89,1,1,0,1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,1.232126906,2.2443668827,0.3666455992,0.4681559201,52.6999550227,4.70E-02,1.92E-04,0.1611941477,1.8927339669,5.13E-02,3.55E-03,98537.5704661458,362.105232366,370.1677840271,21.7780505689,22.262951701,18.1663336123,97.5703101362,98.0023034744,97.1383239784,0.8639809832,3.02E-04,2.1781584726,60.6419145425,-999.9000244141,1.62E-06,1.00E-05,-9.21E-06,9999.990234375,9999.990234375,9999.990234375,34.6968305257
2018-06-28T170000_AIU-0962.ghg,06/28/2018,17:20:00,179.722,1,6000,6000,0.28,0,215.10,0,149.42,1,85.28,0,3.43,1,4.85,0,2.181621767,-6.90E-02,-0.1391066451,-1.58E-03,3.24E-03,-4.15E-11,-2.50E-12,-2.62E-13,13.5036251352,361.7588196245,369.811450189,0.1,0,812.8093049915,21.7749627829,22.2596661856,0.2,0,8.52E-02,2.2080259466,2.2571758671,-0.1,0,309.4661502457,308.0632624512,98097.1989882812,1.1002302898,1017.9630832795,2.61E-02,0.2222641995,1.50E-02,2136.6358333216,5580.4371781502,1.37E-02,38.2879649947,3443.8013448286,291.7240687635,2.0045118608,-4.6203395904,0.4140859687,5.0534219021,7.15E-14,-3.07E-15,5.0534219021,10.0674527137,206.5466235405,293.4533764595,4.7001833235,-9999,0.50,2.5485352559,-51.4332303655,-5.29E-02,1.4395753145,0.3808199456,0,23.7851928646,-3.6094947811,8.1646870227,20.3312251193,31.0064011301,43.49,65.15,0.2751059862,1.0171237338,220.3856568698,1.0241699898,132.8814743538,1.1244278643,75.8439611156,1.1244278643,3.0504429739,1.1244278643,4.1098927468,1.1689737881,800000009,800000009,800000009,800000009,800000009,800001019,899999999,899999999,89999,89999,89,89,1,2,0,2,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,1.3013088237,3.423549855,0.3722118331,0.5228600179,57.6302893827,0.1225424137,2.53E-04,0.196773994,2.0243152621,8.14E-02,4.11E-03,98544.602610677,361.7128693329,369.7650903981,21.7738990302,22.2586871537,18.1621124048,97.5324223518,97.9646500765,97.1001930911,0.8644636953,3.02E-04,2.1843707676,57.8101323082,-999.9000244141,1.59E-06,1.12E-05,-6.79E-06,9999.990234375,9999.990234375,9999.990234375,34.9132624512
2018-06-28T170000_AIU-0962.ghg,06/28/2018,17:30:00,179.729,1,6000,6000,0.24,0,174.78,0,45.48,0,74.47,0,1.04,0,3.99,0,-0.8771241602,11.1266565857,-0.3648914255,0.2554030775,-1.66E-02,3.37E-11,2.10E-12,2.09E-13,13.4782992682,360.6947294208,369.0046268716,0.2,0,841.5097484267,22.5197649179,23.0385885153,0.2,0,8.34E-02,2.1604544155,2.2102282358,-0.1,0,308.8920203552,307.9762877706,98104.6240462239,1.1003117594,1018.3802480876,2.61E-02,6.77E-02,1.55E-02,2209.8856903623,5553.6441890048,1.41E-02,39.7916325777,3343.7584986425,292.263549529,1.719070535,-4.3759818496,0.3662652737,4.7157789285,-1.78E-14,2.50E-15,4.7157789285,9.1480823846,208.553003123,291.446996877,4.4545367104,-9999,0.46,1.5483718452,-48.7962460979,-5.57E-02,3.8425193948,0.3373309367,0,25.071880026,-3.8047545219,8.606365088,21.4310659524,32.6837277964,45.84,68.68,0.2312142267,1.0174253675,174.6755832462,1.0237569178,40.6306933866,1.1194695162,66.5219120933,1.1194695162,0.9326435172,1.1194695162,3.3991298422,1.1653420862,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,3,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,1.896585076,0.9258744436,0.2742841708,0.3510013555,50.5938708879,0.3388630391,1.95E-04,0.1558857728,1.7762220026,2.49E-02,3.40E-03,98552.5610260416,360.6872183204,368.9972726021,22.51832998,23.0374319522,18.6963406289,97.5344750875,97.968574323,97.1003752772,0.8682005463,3.02E-04,2.1403242088,54.5841305599,-999.9000244141,3.05E-06,1.12E-05,-4.76E-06,9999.990234375,9999.990234375,9999.990234375,34.8262877706
2018-06-28T173000_AIU-0962.ghg,06/28/2018,17:40:00,179.735,1,6000,6000,0.37,0,193.29,0,11.81,2,65.67,0,0.27,2,3.61,0,-1.1225089763,13.9826212628,-0.57678056,0.3209243565,-2.43E-02,9.38E-12,6.13E-13,5.64E-14,13.4370833042,359.0134713213,367.6364683503,0.1,0,877.8774948132,23.4552275723,24.0185890443,0.2,1,8.07E-02,2.0909222258,2.1411432275,-0.1,0,308.6327926458,307.865047582,98112.3312649739,1.1004030812,1018.9052473484,2.61E-02,1.76E-02,1.62E-02,2301.864342627,5519.5386000849,1.47E-02,41.7039268933,3217.6742574579,292.9191924415,1.3199371332,-5.7327631156,0.5003485988,5.9039948929,-2.70E-14,6.98E-16,5.9039948929,9.7997505559,217.0339316308,282.9660683692,4.8615032653,-9999,0.58,1.5546856978,-88.0158997424,-3.09E-02,16.3725770201,0.2962007369,0,27.0904998899,-4.1110878741,9.2992919649,23.156551851,35.3152026634,49.53,74.21,0.3666172716,1.0167438897,190.6098409453,1.0254629125,10.3826482128,1.1370587301,57.75326072,1.1370587301,0.2382990023,1.1370587301,3.0341412417,1.1783703457,800000009,800000009,800000009,800000009,800000009,800001019,899999999,899999999,89999,89999,89,89,4,5,0,2,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,1.4659857933,1.2852918169,0.3580937854,0.3824880334,29.9185829227,5.06E-02,1.13E-04,0.170004228,1.5428864265,6.37E-03,3.03E-03,98561.1431354166,359.0124452378,367.6353632257,23.4539635239,24.0173296661,19.3530551462,97.5026763954,97.9398013395,97.0655575307,0.874240908,3.01E-04,2.0704946368,52.8138366251,-999.9000244141,3.56E-06,1.45E-05,-7.51E-06,9999.990234375,9999.990234375,9999.990234375,34.715047582
2018-06-28T173000_AIU-0962.ghg,06/28/2018,17:50:00,179.742,1,6000,6000,0.31,0,171.18,0,54.23,0,80.18,0,1.24,0,4.11,0,-7.051962641,3.9063985819,0.6982173692,8.96E-02,3.22E-02,4.92E-11,3.23E-12,3.07E-13,13.5345985836,361.0438643058,369.814296197,0.2,0,889.0428533373,23.715772974,24.2918735318,0.2,0,8.45E-02,2.1826462422,2.2356668086,-0.1,0,308.4871670278,307.1678806559,98123.5676588541,1.1029172911,1019.0318829259,2.60E-02,8.06E-02,1.64E-02,2327.7004675694,5309.8960276337,1.49E-02,43.8370253477,2982.1955600642,293.0992246249,1.7417561689,-4.8206072317,0.4266635587,5.1433462286,-3.01E-15,3.64E-15,5.1433462286,8.7698537936,210.1344680616,289.8655319384,4.7584091366,-9999,0.53,1.7013464134,-74.2757917163,-3.66E-02,3.1564185219,0.2883788151,0,25.9011792411,-3.9306038772,8.8910366725,22.1399384484,33.7648030799,47.36,70.95,0.3025041248,1.0170598791,171.6187272469,1.0242910662,48.1708098013,1.125856344,71.2140203645,1.125856344,1.1048449902,1.125856344,3.4848793663,1.1699542234,800000009,800000009,800000009,800000009,800000019,800001019,899999999,899999999,89999,89999,89,89,4,2,0,1,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,1.018809675,2.0539676883,0.3299154635,0.3729996719,57.1165637931,1.78E-02,1.91E-04,0.1526982146,1.8984735579,2.95E-02,3.48E-03,98571.989735026,360.9863707901,369.7557247374,23.7144310206,24.2904992527,19.5320680574,97.5001086019,97.9410170898,97.0592021255,0.8818151382,3.01E-04,2.1614214667,50.58621392,-999.9000244141,4.32E-06,1.68E-05,-9.84E-06,9999.990234375,9999.990234375,9999.990234375,34.0178806559
2018-06-28T173000_AIU-0962.ghg,06/28/2018,18:00:00,179.749,1,6000,6000,0.31,0,174.40,0,71.73,1,117.40,0,1.65,1,6.21,0,3.4039338625,-0.61506921,1.2032556324,-1.41E-02,7.34E-02,-5.56E-12,-3.61E-13,-3.76E-14,13.6774560601,364.5463467639,373.3861502076,0.2,0,888.2536103942,23.67469559,24.2487780283,0.2,0,9.25E-02,2.3921311251,2.4501373818,-0.1,0,308.5968217138,307.5047297109,98134.2752213541,1.1018466166,1019.0186396988,2.61E-02,0.1066413161,1.64E-02,2323.9222932018,5410.3102863178,1.49E-02,42.9535862126,3086.3879931161,293.073007071,1.4696237479,-4.3434681741,0.4472735371,4.6071209401,-2.01E-14,-4.06E-16,4.6071209401,7.9547659359,211.3066175814,288.6933824186,5.5712263917,-9999,0.53,1.753235048,-73.0526892505,-3.72E-02,2.4314262006,0.2938996431,0,26.7205324867,-4.0549438933,9.1722941275,22.8403092792,34.8329127878,48.85,73.19,0.3024574814,1.0175455692,175.9620931826,1.0236397112,64.1592545132,1.1179707889,105.0073817258,1.1179707889,1.4720414334,1.1179707889,5.3113587239,1.1641913237,800000009,800000009,800000009,800000009,800000009,800001119,899999999,899999999,89999,89999,89,89,1,1,1,1,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,1.4383469093,1.7625248949,0.3055982918,0.3437861496,120.4142407101,3.30E-02,4.58E-04,0.156716906,2.8020069624,3.93E-02,5.31E-03,98583.2316458333,364.4909659472,373.3307535083,23.6730953063,24.2471469111,19.5035030341,97.4768418032,97.9198445702,97.0338327001,0.8860070028,3.00E-04,2.36705174,47.5069085614,-999.9000244141,6.15E-06,2.24E-05,-1.37E-05,9999.990234375,9999.990234375,9999.990234375,34.3547297109
2018-06-28T180000_AIU-0962.ghg,06/28/2018,18:10:00,179.756,1,6000,6000,0.30,0,141.96,0,44.93,0,81.71,0,1.03,0,4.43,0,-5.3666980819,-0.1741558178,-1.1801418241,-3.99E-03,-6.38E-02,2.49E-11,1.63E-12,1.58E-13,13.5515427044,361.117422462,369.8696827484,0.2,0,887.9975879903,23.6630918798,24.2366048881,0.2,0,8.57E-02,2.2105749445,2.264151776,-0.1,0,308.2551398773,306.9746092612,98144.4497524739,1.1038687406,1018.9964270808,2.60E-02,6.68E-02,1.64E-02,2323.0240915052,5253.0148124106,1.49E-02,44.2226830584,2929.9907209054,293.0667687639,1.0374804147,-5.0554981685,0.4460497254,5.180095337,-4.95E-15,1.84E-15,5.180095337,9.4659961817,218.4028745938,281.5971254062,4.9397652627,-9999,0.52,1.4436084267,-87.9519387394,-3.09E-02,3.1597631052,0.2404091102,0,27.4999471334,-4.173223073,9.4398419539,23.5065411964,35.8489584982,50.28,75.33,0.2990898687,1.0170354311,142.3002094792,1.0243418472,39.8856057275,1.1263684485,72.54555755,1.1263684485,0.9146425138,1.1263684485,3.7658651289,1.1703543784,800000009,800000009,800000009,800000009,800000019,800001019,899999999,899999999,89999,89999,89,89,3,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,11,6000,6000,6000,6000,100,1.2097306422,1.3969058049,0.2805804062,0.2918882093,53.9964400606,1.16E-02,2.06E-04,0.1265072581,1.9322382281,2.44E-02,3.77E-03,98593.608720052,361.1004632617,369.8527162252,23.6617378624,24.2352116891,19.4971125766,97.4730132014,97.9164040565,97.0296190351,0.8867871777,3.00E-04,2.1878015707,44.9387491875,-999.9000244141,5.95E-06,2.15E-05,-1.16E-05,9999.990234375,9999.990234375,9999.990234375,33.8246092612
2018-06-28T180000_AIU-0962.ghg,06/28/2018,18:20:00,179.763,1,6000,6000,0.19,0,54.88,0,44.76,1,86.31,0,1.03,1,4.38,0,-9.2963680968,3.1522379974,1.1106089429,7.22E-02,5.75E-02,1.53E-11,1.01E-12,1.03E-13,13.6994520367,364.3341152773,373.2443035643,0.2,0,897.6293618186,23.8722686506,24.4560910257,0.2,0,9.24E-02,2.3736553944,2.4317057268,-0.1,0,308.0835440114,306.0592305145,98162.1459485677,1.1072815039,1019.0885731317,2.59E-02,6.65E-02,1.66E-02,2343.9816990702,4990.730418974,1.50E-02,46.9667063194,2646.7487199038,293.211778704,1.5993670479,-3.9965471811,0.36621971,4.320240873,8.82E-15,1.12E-15,4.320240873,7.3006944215,208.1893444879,291.8106555121,4.8627044867,-9999,0.42,1.1905204657,-115.090792611,-2.36E-02,1.2261284633,0.1162798558,0,25.4841459496,-3.8673174663,8.7478826387,21.7834646632,33.2211580654,46.59,69.81,0.1902963025,1.0179258417,56.7173442642,1.0233734678,40.1875286138,1.1137594716,77.4908409902,1.1137594716,0.9207406791,1.1137594716,3.7838930438,1.1612054935,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,1,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,0.9870362743,1.1785381,0.2154665571,9.13E-02,109.2494535776,3.11E-02,4.01E-04,5.03E-02,2.057870447,2.45E-02,3.78E-03,98611.1485598958,364.3059892187,373.2164157869,23.8708939875,24.4546941924,19.6410311705,97.4769406306,97.923219443,97.0306687826,0.892555435,2.99E-04,2.3498988655,41.2530265452,-999.9000244141,8.40E-06,2.60E-05,-1.45E-05,9999.990234375,9999.990234375,9999.990234375,32.9092305145
2018-06-28T180000_AIU-0962.ghg,06/28/2018,18:30:00,179.77,1,6000,6000,0.25,0,55.40,1,36.17,0,73.27,0,0.83,0,4.06,0,-4.4139981602,0.5908280616,-0.9506858219,1.35E-02,-4.96E-02,-1.68E-11,-1.11E-12,-1.07E-13,13.6099007593,361.5848921079,370.442694585,0.1,0,900.0147751524,23.9113973808,24.4971586767,0.2,0,8.71E-02,2.2330939299,2.2877983863,-0.1,0,307.8406855901,305.6252737732,98175.5339876302,1.108988406,1019.098572406,2.59E-02,5.37E-02,1.66E-02,2348.143902089,4870.4111173899,1.50E-02,48.2124372151,2522.267215301,293.2404425368,2.5693120519,-4.0558734193,0.3177138944,4.8116957232,-4.75E-14,-1.23E-15,4.8116957232,8.0973628139,197.646585875,302.353414125,3.7859665256,-9999,0.47,1.1714115386,-163.5775314454,-1.66E-02,1.531796875,0.1039149966,0,27.1880246907,-4.1258876389,9.3327690731,23.2399145839,35.4423360909,49.71,74.47,0.2425738442,1.0173290524,56.6729563859,1.0238670642,32.2645665677,1.1209432294,65.363630626,1.1209432294,0.7389031159,1.1209432294,3.4939632176,1.1663659034,800000009,800000009,800000009,800000009,800000009,800001019,899999999,899999999,89999,89999,89,89,5,2,0,1,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,6000,100,0.9922504006,1.1174412024,0.2331314742,8.01E-02,66.4036064296,1.63E-02,2.58E-04,5.01E-02,1.7331884759,1.96E-02,3.49E-03,98623.3468736979,361.5420128402,370.3991941172,23.909995509,24.4957203728,19.6674879662,97.46474558,97.9128457896,97.0166380196,0.8962009763,2.99E-04,2.2093629838,37.0368183911,-999.9000244141,9.90E-06,2.97E-05,-1.90E-05,9999.990234375,9999.990234375,9999.990234375,32.4752737732
